FREQUENCY (MHz),GAIN (dBi),,diameter (m)
25,-35.85739151,,1
30,-26.56746659,,
35,-19.6901308,,
40,-16.43139186,,
45,-11.11064141,,
50,-5.759191597,,
60,-1.558966676,,
70,0.903369117,,
80,-0.071691944,,
90,-2.130841495,,
100,1.859508316,,
120,1.859433237,,
140,4.05406903,,
160,7.178107969,,
180,10.28035842,,
200,10.90290823,,
225,11.08235868,,
250,8.03380849,,
275,7.311962193,,
300,6.119033411,,
350,6.615369203,,
400,10.21850814,,
450,11.29885859,,
500,10.6886084,,
550,6.551962106,,
600,7.492033324,,
650,9.457975449,,
700,11.13576912,,
750,9.117233584,,
800,8.076208056,,
850,6.217886831,,
900,9.531758505,,
950,10.13168042,,
1000,10.24310832,,
1100,8.339362019,,
