Trace
Swept SA
A.07.06,N9010A
B25 FSA 507 PFR ,01
Segment,0
Number of Points,1001
Sweep Time,0.006666666667
Start Frequency,2000000000
Stop Frequency,6000000000
Average Count,0
Average Type,LogPower(Video)
RBW,8000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,6
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
2000000000,-19.9604089577461
2004000000,-19.9050538661258
2008000000,-19.8918757712083
2012000000,-19.8904566604705
2016000000,-19.9007965339124
2020000000,-19.8729197087703
2024000000,-19.882524645701
2028000000,-19.8818404714744
2032000000,-19.8796864242254
2036000000,-19.8643035197742
2040000000,-19.9175553264301
2044000000,-19.8908627587478
2048000000,-19.9210904115738
2052000000,-19.9211360540324
2056000000,-19.8976637281315
2060000000,-19.9376815577592
2064000000,-19.9612451685771
2068000000,-19.9536558303607
2072000000,-19.9933880444257
2076000000,-20.0125420361762
2080000000,-19.9956841388764
2084000000,-20.0038140829585
2088000000,-20.0379524204963
2092000000,-20.0039053678756
2096000000,-20.0274689786935
2100000000,-20.0378037323093
2104000000,-20.0704721968246
2108000000,-20.0129071758445
2112000000,-20.0276515485277
2116000000,-20.0265129335264
2120000000,-19.9743479616817
2124000000,-20.0089410020618
2128000000,-20.0347148043072
2132000000,-20.0281514000584
2136000000,-20.0274674878995
2140000000,-20.0755750010444
2144000000,-20.011400933357
2148000000,-20.0195362593328
2152000000,-20.0012138709043
2156000000,-19.9953854031667
2160000000,-19.938111379643
2164000000,-19.9715201625633
2168000000,-19.9367435553251
2172000000,-19.9125416748068
2176000000,-19.9577094419068
2180000000,-19.9258725807135
2184000000,-19.9222489225097
2188000000,-20.0203321184182
2192000000,-19.9539009455736
2196000000,-19.974904215749
2200000000,-20.0064822126442
2204000000,-19.966935073336
2208000000,-19.9938178356012
2212000000,-20.0412788201809
2216000000,-20.0086317250365
2220000000,-19.995092979184
2224000000,-20.0205058684267
2228000000,-20.0165212972203
2232000000,-19.9963681227667
2236000000,-19.9944855670958
2240000000,-20.0309917886169
2244000000,-19.9750597151088
2248000000,-19.9635094478372
2252000000,-19.91917991751
2256000000,-19.9462829321101
2260000000,-19.946928232306
2264000000,-19.9233206276312
2268000000,-19.9710018645458
2272000000,-19.9268160375566
2276000000,-19.8965940042807
2280000000,-19.9413354951504
2284000000,-19.8978846046724
2288000000,-19.7150813926232
2292000000,-19.9126896778288
2296000000,-19.8880615210802
2300000000,-19.8857670752311
2304000000,-19.883472629382
2308000000,-19.9458525965212
2312000000,-19.9317991664924
2316000000,-19.9500829429578
2320000000,-19.9860051956927
2324000000,-19.9798185164002
2328000000,-19.978558841799
2332000000,-19.9849341478727
2336000000,-19.9378227940126
2340000000,-19.947771684807
2344000000,-19.9424005442912
2348000000,-19.8982414740662
2352000000,-19.9175725593696
2356000000,-19.9545421209425
2360000000,-19.8827410788533
2364000000,-19.9197106404263
2368000000,-19.9157933872852
2372000000,-19.8767671217848
2376000000,-19.8965357771828
2380000000,-19.8916022067617
2384000000,-19.8625794368559
2388000000,-19.8871948801099
2392000000,-19.973844708089
2396000000,-19.9452732091908
2400000000,-19.9272764370125
2404000000,-19.9504361094631
2408000000,-19.9882945121382
2412000000,-19.9526592636904
2416000000,-19.9258432533773
2420000000,-19.9578221639626
2424000000,-19.9045484392453
2428000000,-19.9012503972915
2432000000,-19.8908886057882
2436000000,-19.8711363450247
2440000000,-19.8884165253855
2444000000,-19.9280304166458
2448000000,-19.8854055573277
2452000000,-19.8895671293763
2456000000,-19.9334152730313
2460000000,-19.9236130513665
2464000000,-19.9579070203755
2468000000,-19.9373276753735
2472000000,-19.9191168452911
2476000000,-19.932058964243
2480000000,-19.9761540322293
2484000000,-19.9256059956528
2488000000,-19.9561865908743
2492000000,-19.9767636905011
2496000000,-19.9556131143738
2500000000,-19.9933766455683
2504000000,-20.0057222679169
2508000000,-20.026152191889
2512000000,-20.0201244014568
2516000000,-20.0170363570695
2520000000,-20.0674247075932
2524000000,-20.0680594276653
2528000000,-20.0939676046819
2532000000,-20.0669603528899
2536000000,-20.0790332597329
2540000000,-20.0349016258304
2544000000,-20.0341312460905
2548000000,-20.0395259740032
2552000000,-19.9899641689595
2556000000,-19.9612662017928
2560000000,-19.974745231329
2564000000,-19.956050759757
2568000000,-19.9258829195679
2572000000,-19.9546110892522
2576000000,-19.9513481711895
2580000000,-19.9204432812627
2584000000,-19.967727277089
2588000000,-19.9497656288018
2592000000,-19.9502915612333
2596000000,-19.969767425813
2600000000,-19.9304483694942
2604000000,-19.9352255038493
2608000000,-19.9829145714183
2612000000,-20.0006349474129
2616000000,-19.9745237387818
2620000000,-20.0118900175846
2624000000,-19.9845818833991
2628000000,-19.9660929873484
2632000000,-19.9828810438367
2636000000,-20.0203947710649
2640000000,-19.9681938237064
2644000000,-20.0294587146401
2648000000,-20.0630816337097
2652000000,-20.0111561328722
2656000000,-20.0222188260029
2660000000,-20.0244622809989
2664000000,-20.0321359071362
2668000000,-19.9936722384518
2672000000,-19.9751962996811
2676000000,-19.9836962132534
2680000000,-19.9581034317465
2684000000,-19.9072371932952
2688000000,-19.9216165989573
2692000000,-19.8832442811969
2696000000,-19.8760249124707
2700000000,-19.8372032737617
2704000000,-19.8809801398731
2708000000,-19.8653908539608
2712000000,-19.8927135012625
2716000000,-19.8891721127729
2720000000,-19.9176534290841
2724000000,-19.9736130118735
2728000000,-19.9584474584594
2732000000,-20.0099789410397
2736000000,-19.997780057526
2740000000,-19.9600221015052
2744000000,-19.9967783486813
2748000000,-20.0158961195879
2752000000,-19.9519660647254
2756000000,-19.6896031518307
2760000000,-20.0409122258135
2764000000,-19.9365606628333
