Angle (deg),
3.6,-60.22937357559881
7.2,-57.451693968653956
10.8,-55.176547832323415
14.4,-52.89626635622521
18.0,-51.76142096514023
21.6,-51.4761010541392
25.200000000000003,-51.81661994696159
28.800000000000004,-52.96660682686378
32.400000000000006,-54.00716717597726
36.00000000000001,-54.10437900360557
39.60000000000001,-52.88730074338142
43.20000000000001,-52.83835102776402
46.80000000000001,-54.920752597500396
50.40000000000001,-58.076682478600574
54.000000000000014,-58.36682491141995
57.600000000000016,-56.30293535903198
61.20000000000002,-55.770604972288474
64.80000000000001,-57.89083753163454
68.4,-60.06359603014769
72.0,-59.946143652833875
75.6,-61.67378446227063
79.19999999999999,-62.36605604476134
82.79999999999998,-65.58100663932758
86.39999999999998,-67.8415150811726
89.99999999999997,-59.23993048266464
93.59999999999997,-59.66243828657885
97.19999999999996,-75.04116426906342
100.79999999999995,-60.304292137052464
104.39999999999995,-58.95534862754937
107.99999999999994,-70.04259976887192
111.59999999999994,-61.9009240426489
115.19999999999993,-54.29798653754131
118.79999999999993,-54.396171741369955
122.39999999999992,-57.20478509686468
125.99999999999991,-62.734767289264695
129.5999999999999,-58.84294973034963
133.1999999999999,-57.6066510732123
136.7999999999999,-56.49605705561176
140.3999999999999,-57.29166822566994
143.9999999999999,-58.91235838619401
147.59999999999988,-60.34622008111404
151.19999999999987,-60.173353237566666
154.79999999999987,-60.44418772539163
158.39999999999986,-61.181023821279254
161.99999999999986,-63.73227953421763
165.59999999999985,-66.15723513833831
169.19999999999985,-70.16297862128934
172.79999999999984,-78.03018106005021
176.39999999999984,-76.05175602581352
179.99999999999983,-73.5933890052797
183.59999999999982,-69.45297556450319
187.19999999999982,-67.81501393766533
190.7999999999998,-67.7681468490882
194.3999999999998,-67.06631669270317
197.9999999999998,-63.59096493203646
201.5999999999998,-60.71809507306769
205.1999999999998,-60.54432348604115
208.79999999999978,-61.665534807911115
212.39999999999978,-64.17753317437864
215.99999999999977,-66.9185387101264
219.59999999999977,-62.77010339049316
223.19999999999976,-61.33804409784821
226.79999999999976,-62.32383246646479
230.39999999999975,-67.58344333519703
233.99999999999974,-70.7360161681868
237.59999999999974,-59.51754491717993
241.19999999999973,-55.65082412737636
244.79999999999973,-55.477079943831725
248.39999999999972,-59.612229537384124
251.99999999999972,-71.10877562150874
255.5999999999997,-62.11756922662353
259.1999999999997,-59.75090377792742
262.7999999999997,-60.44413259885907
266.39999999999975,-61.02028826768958
269.9999999999998,-63.63237441582615
273.5999999999998,-70.21406015114462
277.1999999999998,-61.450509871746426
280.79999999999984,-57.934820733363686
284.39999999999986,-61.77845755886355
287.9999999999999,-68.7249756155687
291.5999999999999,-59.40770682311785
295.19999999999993,-56.152940780837895
298.79999999999995,-54.88889380874926
302.4,-54.774292156389386
306.0,-56.85843540828468
309.6,-58.42785999301461
313.20000000000005,-55.92655354284157
316.80000000000007,-53.26397982320247
320.4000000000001,-51.75505473939775
324.0000000000001,-52.66205172834159
327.60000000000014,-57.15183696165674
331.20000000000016,-57.33004507841208
334.8000000000002,-51.46122255133022
338.4000000000002,-49.20771538505627
342.0000000000002,-48.51372312968657
345.60000000000025,-48.82397995885664
349.2000000000003,-50.05304968479186
352.8000000000003,-52.34074691954639
356.4000000000003,-54.797027243717785
360.00000000000034,-58.254953983156796
363.60000000000036,-59.72189098110709
