FREQUENCY (MHz),GAIN (dBi),AFE (dB/m)
700,-0.56,27.68
750,0.77,26.86
800,2.41,25.83
850,3.6,25.11
900,4.99,24.25
950,5.56,24.19
1000,5.86,24.28
1250,6.88,25.21
1500,8.18,25.49
1750,8.63,26.43
2000,7.88,28.34
2250,8.93,28.31
2500,9.12,29.03
3000,9.67,30.06
3500,10.12,30.94
4000,10.54,31.71
4500,10.65,32.62
5000,10.28,33.89
5500,10.63,34.37
6000,11.16,34.61
6500,11.19,35.27
7000,10,37.1
7500,9.82,37.88
8000,9.91,38.36
8500,10.86,37.94
9000,11.07,38.21
9500,10.48,39.27
10000,11.06,39.15
10500,11.45,39.18
11000,11.6,39.43
11500,10.3,41.11
12000,10.95,40.84
12500,11.82,40.32
13000,11.11,41.37
13500,11.9,40.91
14000,12.37,41.76
14500,11.18,42.26
15000,11.83,41.9
15500,12.58,41.43
16000,13.91,40.38
16500,13.85,40.71
17000,12.63,42.18
17500,10.2,44.87
18000,10.14,45.17
