Trace
Swept SA
A.07.06,N9010A
B25 FSA 507 PFR ,01
Segment,0
Number of Points,1001
Sweep Time,0.006666666667
Start Frequency,2000000000
Stop Frequency,6000000000
Average Count,0
Average Type,LogPower(Video)
RBW,8000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,6
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
2000000000,-26.1563730683675
2004000000,-26.1549539576297
2008000000,-26.1388361166673
2012000000,-26.1403567519744
2016000000,-26.0860222124281
2020000000,-26.093422339825
2024000000,-26.0846538639749
2028000000,-26.1185117057762
2032000000,-26.150899674555
2036000000,-26.0759869126941
2040000000,-26.162760183304
2044000000,-26.1613410725662
2048000000,-26.1886289793473
2052000000,-26.2283611934122
2056000000,-26.2269369628483
2060000000,-26.2064043829924
2064000000,-26.2564257082146
2068000000,-26.2829290650775
2072000000,-26.2800349614911
2076000000,-26.2837552865058
2080000000,-26.3653788817109
2084000000,-26.3529306034785
2088000000,-26.3831086428975
2092000000,-26.4184312378951
2096000000,-26.4625730710275
2100000000,-26.4104382211887
2104000000,-26.4244476573606
2108000000,-26.4186138077293
2112000000,-26.3833824976488
2116000000,-26.3775486480175
2120000000,-26.3888738317013
2124000000,-26.399948903722
2128000000,-26.4080842296978
2132000000,-26.4955926988865
2136000000,-26.4537523420987
2140000000,-26.479526144344
2144000000,-26.4200473112866
2148000000,-26.445821113532
2152000000,-26.4392577092832
2156000000,-26.4591520194387
2160000000,-26.4702270914594
2164000000,-26.4761576079016
2168000000,-26.3894861239286
2172000000,-26.3888022117697
2176000000,-26.4292747442397
2180000000,-26.4726870227545
2184000000,-26.5131595552245
2188000000,-26.5065961509757
2192000000,-26.4624986890306
2196000000,-26.5099596736103
2200000000,-26.5368424358755
2204000000,-26.5784239283653
2208000000,-26.6104512462092
2212000000,-26.6263099608059
2216000000,-26.6384939928465
2220000000,-26.6300998025727
2224000000,-26.6231754853213
2228000000,-26.613311422025
2232000000,-26.572580025257
2236000000,-26.5618782314513
2240000000,-26.5525327737134
2244000000,-26.5814040145595
2248000000,-26.5926367791361
2252000000,-26.5306687725393
2256000000,-26.575410263409
2260000000,-26.570176071515
2264000000,-26.5825803558905
2268000000,-26.6008641323558
2272000000,-26.5838709562821
2276000000,-26.5727572722983
2280000000,-26.5734025724941
2284000000,-26.5564093964204
2288000000,-26.5688136807959
2292000000,-26.6076756795758
2296000000,-26.5781885828111
2300000000,-26.5766290734733
2304000000,-26.5949128499387
2308000000,-26.6220158645388
2312000000,-26.6432393870491
2316000000,-26.7261975765027
2320000000,-26.7239031306536
2324000000,-26.7265356894959
2328000000,-26.8075889041525
2332000000,-26.8004497374614
2336000000,-26.7521541261415
2340000000,-26.7444645406664
2344000000,-26.7219042448296
2348000000,-26.6802355997009
2352000000,-26.7377833835883
2356000000,-26.7475602942457
2360000000,-26.7411686016561
2364000000,-26.7516804488247
2368000000,-26.733064465459
2372000000,-26.7146164222731
2376000000,-26.7432043158059
2380000000,-26.7923704316532
2384000000,-26.7562839121977
2388000000,-26.7662006252271
2392000000,-26.7717218214082
2396000000,-26.7654840334095
2400000000,-26.8033424360847
2404000000,-26.8323816006252
2408000000,-26.7996860982222
2412000000,-26.8257855167177
2416000000,-26.8048489984945
2420000000,-26.8456471472146
2424000000,-26.8122167083004
2428000000,-26.8361113172622
2432000000,-26.853391497623
2436000000,-26.823635741265
2440000000,-26.8695784455637
2444000000,-26.9052320387052
2448000000,-26.9231575888707
2452000000,-26.8927771448914
2456000000,-26.8337341769742
2460000000,-26.9143291461907
2464000000,-26.9611170358906
2468000000,-26.9321677737024
2472000000,-26.959808622879
2476000000,-26.950702646494
2480000000,-26.9651146384684
2484000000,-27.0192132020493
2488000000,-27.0262758289114
2492000000,-26.9892422650996
2496000000,-27.0286420984559
2500000000,-27.0436225978022
2504000000,-26.9758601404266
2508000000,-27.0830125727239
2512000000,-27.1019726236736
2516000000,-27.034210166298
2520000000,-27.0799032821917
2524000000,-27.0764139987591
2528000000,-27.1464183664495
2532000000,-27.1524832576628
2536000000,-27.1256045294106
2540000000,-27.1285088322269
2544000000,-27.099075928549
2548000000,-27.2107508350275
2552000000,-27.1945467885517
2556000000,-27.0783913765487
2560000000,-27.1342111081736
2564000000,-27.1312359189001
2568000000,-27.0694658087281
2572000000,-27.1287756963214
2576000000,-27.1507862352032
2580000000,-27.1198813452764
2584000000,-27.2095060431914
2588000000,-27.2903115029717
2592000000,-27.2114642921904
2596000000,-27.1633259977368
2600000000,-27.2489461483272
2604000000,-27.2404944254801
2608000000,-27.1835368928918
2612000000,-27.2265307258309
2616000000,-27.3385875813111
2620000000,-27.2701230024967
2624000000,-27.2780918208503
2628000000,-27.2302054643503
2632000000,-27.1676203776258
2636000000,-27.2298363306731
2640000000,-27.320498682056
2644000000,-27.334727636271
2648000000,-27.2960411616773
2652000000,-27.3046660703234
2656000000,-27.3657044462178
2660000000,-27.3503094249442
2664000000,-27.4231067850183
2668000000,-27.325398874487
2672000000,-27.2863447134018
2676000000,-27.2842699002543
2680000000,-27.3145322936009
2684000000,-27.2977587502288
2688000000,-27.2633467305871
2692000000,-27.2046818060748
2696000000,-27.220980405708
2700000000,-27.2835800055488
2704000000,-27.4520104630068
2708000000,-27.5263690470272
2712000000,-27.3258613758474
2716000000,-27.4656326070478
2720000000,-27.3846083831857
2724000000,-27.3329816197727
2728000000,-27.4224626665161
2732000000,-27.4534159267819
2736000000,-27.3431848717119
2740000000,-27.3645074521522
2744000000,-27.38436015957
2748000000,-27.3593817398027
2752000000,-27.4225957013831
2756000000,-27.4725808057614
2760000000,-27.4747950369096
2764000000,-27.3888168867102
