FREQUENCY (MHz)),LOSS (dB),
1,-0.212029188,
3,-0.217405878,
5,-0.57679223,
7,-0.284289898,
9,-0.53417071,
11,-0.606931824,
13,-0.63486181,
15,-0.65985205,
17,-0.687542705,
19,-0.707627721,
21,-0.72232885,
23,-0.763979701,
25,-0.793622489,
27,-0.813957782,
29,-0.834537204,
31,-0.825231956,
33,-0.872270291,
35,-0.908284579,
37,-0.920780898,
39,-0.936951901,
41,-0.957532522,
43,-0.984472648,
45,-0.989874526,
47,-1.013394893,
49,-1.037391675,
51,-1.055031351,
53,-1.066317518,
55,-1.090310702,
57,-1.087372156,
59,-1.104541413,
61,-1.131001526,
63,-1.148642401,
65,-1.143967065,
67,-1.198622882,
69,-1.163348328,
71,-1.199090901,
73,-1.211123999,
75,-1.219210699,
77,-1.297511849,
79,-1.266251434,
81,-1.266253832,
83,-1.292713946,
85,-1.289776598,
87,-1.300521735,
89,-1.33726976,
91,-1.330940239,
93,-1.337272159,
95,-1.348583513,
97,-1.369611764,
99,-1.366226787,
101,-1.378433401,
103,-1.389749553,
105,-1.41326992,
107,-1.419593444,
109,-1.436792686,
111,-1.437234319,
113,-1.463693233,
115,-1.463992533,
117,-1.479864235,
119,-1.528671744,
121,-1.498541746,
123,-1.4953015,
125,-1.510736366,
127,-1.522066911,
129,-1.527948802,
131,-1.533830692,
133,-1.525439893,
135,-1.557353458,
137,-1.590116705,
139,-1.622032669,
141,-1.592637607,
143,-1.58970026,
145,-1.601880487,
147,-1.625716947,
149,-1.627924155,
151,-1.6308663,
153,-1.666145651,
155,-1.672027542,
157,-1.672029941,
159,-1.674972086,
161,-1.690082464,
163,-1.692288473,
165,-1.707316489,
167,-1.722017618,
169,-1.742598239,
171,-1.740395828,
173,-1.754764073,
175,-1.772002896,
177,-1.772005294,
179,-1.801405154,
181,-1.795925315,
183,-1.801409951,
185,-1.813171334,
187,-1.810233987,
189,-1.842573592,
191,-1.827877261,
193,-1.84257839,
195,-1.862812934,
197,-1.866488815,
199,-1.857670777,
201,-1.866491214,
203,-1.881191144,
205,-1.881192343,
207,-1.907269595,
209,-1.919030978,
211,-1.922352386,
213,-1.936317379,
215,-1.930062222,
217,-1.924920065,
219,-1.951754644,
221,-1.957262069,
223,-1.966083706,
225,-1.988505068,
227,-1.967928045,
229,-1.984832784,
231,-1.998797777,
233,-2.011292897,
235,-2.007254543,
237,-2.042533895,
239,-2.031139781,
241,-2.048779457,
243,-2.060179567,
245,-2.073410823,
247,-2.063124111,
249,-2.09252397,
251,-2.081122661,
253,-2.098762336,
255,-2.09582379,
257,-2.127810518,
259,-2.130752663,
261,-2.10170688,
263,-2.154623508,
265,-2.134046485,
267,-2.157565653,
269,-2.172265583,
271,-2.174863246,
273,-2.173737854,
275,-2.195052213,
277,-2.198728095,
279,-2.187705246,
281,-2.22117624,
283,-2.21897383,
285,-2.229600226,
287,-2.248376088,
289,-2.256462788,
291,-2.263410903,
293,-2.27664096,
295,-2.263413302,
297,-2.298691454,
299,-2.289873415,
301,-2.286934869,
303,-2.304250453,
305,-2.318951582,
307,-2.310134743,
309,-2.319276873,
311,-2.342476747,
313,-2.325158764,
315,-2.3721959,
317,-2.354242927,
319,-2.349100771,
321,-2.389837974,
323,-2.383959682,
325,-2.386900627,
327,-2.38396208,
329,-2.404541502,
331,-2.406012575,
333,-2.418936531,
335,-2.424818422,
337,-2.42482082,
339,-2.43511233,
341,-2.436584602,
343,-2.463344819,
345,-2.445707542,
347,-2.465989259,
349,-2.472167655,
351,-2.495391517,
353,-2.486868784,
355,-2.48980973,
357,-2.507157698,
359,-2.517449208,
361,-2.524800972,
363,-2.513044386,
365,-2.542444245,
367,-2.542732355,
369,-2.548613046,
371,-2.557150172,
373,-2.586832144,
375,-2.557435883,
377,-2.577735591,
379,-2.56625752,
381,-2.58582469,
383,-2.615959486,
385,-2.598598324,
387,-2.607145045,
389,-2.633605158,
391,-2.639487049,
393,-2.648308686,
395,-2.657130323,
397,-2.654460696,
399,-2.660074867,
401,-2.672101571,
403,-2.676983204,
405,-2.668901301,
407,-2.684599089,
409,-2.701243305,
411,-2.710064942,
413,-2.721826325,
415,-2.698567681,
417,-2.729180488,
419,-2.724773268,
421,-2.752703254,
423,-2.742668669,
425,-2.75295898,
427,-2.75712007,
429,-2.757370997,
431,-2.764721562,
433,-2.786524726,
435,-2.780892564,
437,-2.792652748,
439,-2.798290907,
441,-2.810293623,
443,-2.807355076,
445,-2.815440577,
447,-2.839694681,
449,-2.822057404,
451,-2.836757334,
453,-2.851223127,
455,-2.842406288,
457,-2.838734004,
459,-2.84558137,
461,-2.86225677,
463,-2.874981229,
465,-2.868875996,
467,-2.886516871,
469,-2.901218001,
471,-2.882335392,
473,-2.904384687,
475,-2.907325632,
477,-2.919085816,
479,-2.924966507,
481,-2.936509346,
483,-2.948486874,
485,-2.96885135,
487,-2.945549527,
489,-2.97473564,
491,-2.968858546,
493,-2.989439167,
495,-2.957313309,
497,-2.989443965,
499,-3.005614967,
501,-2.992388509,
503,-3.010029384,
505,-3.012971529,
507,-3.036491896,
509,-3.021795564,
511,-3.027677455,
513,-3.040096293,
515,-3.015923269,
517,-3.045518884,
519,-3.057279067,
521,-3.064629632,
523,-3.066835641,
525,-3.093103596,
527,-3.076937392,
529,-3.086493965,
531,-3.110749269,
533,-3.154112922,
535,-3.118838368,
537,-3.124720259,
539,-3.118843166,
541,-3.136484041,
543,-3.141630995,
545,-3.133549092,
547,-3.142370729,
549,-3.160011604,
551,-3.124912417,
553,-3.169009807,
555,-3.16607126,
557,-3.165165755,
559,-3.186651881,
561,-3.195472319,
563,-3.198413264,
565,-3.192368001,
567,-3.189596425,
569,-3.210175846,
571,-3.215893166,
573,-3.198419261,
575,-3.213119191,
577,-3.230599093,
579,-3.252649587,
581,-3.242362875,
583,-3.260159925,
585,-3.257066402,
587,-3.265888039,
589,-3.2570712,
591,-3.259278408,
593,-3.258696049,
595,-3.295295095,
597,-3.28353851,
599,-3.309998623,
601,-3.283543307,
603,-3.306328738,
605,-3.295450071,
607,-3.316622647,
609,-3.313090946,
611,-3.33647073,
613,-3.324852329,
615,-3.335005655,
617,-3.371754879,
619,-3.348239309,
621,-3.366013571,
623,-3.362942837,
625,-3.368955716,
627,-3.380586111,
629,-3.395415829,
631,-3.386597791,
633,-3.389412546,
635,-3.389414944,
637,-3.407055819,
639,-3.39823898,
641,-3.404120871,
643,-3.410122955,
645,-3.430583383,
647,-3.427646036,
649,-3.448343252,
651,-3.430590579,
653,-3.451171201,
655,-3.457053091,
657,-3.44834805,
659,-3.483515603,
661,-3.486567147,
663,-3.4836286,
665,-3.472498752,
667,-3.518907952,
669,-3.496126119,
671,-3.505578092,
673,-3.512929855,
675,-3.516606937,
677,-3.501275472,
679,-3.527734386,
681,-3.542336911,
683,-3.550423612,
685,-3.560715121,
687,-3.536558422,
689,-3.542346506,
691,-3.542440313,
693,-3.524803036,
695,-3.574690909,
697,-3.571841372,
699,-3.586454691,
701,-3.580663008,
703,-3.589483446,
705,-3.598220872,
707,-3.601163016,
709,-3.615864145,
711,-3.60712672,
713,-3.624766396,
715,-3.615871342,
717,-3.624768794,
719,-3.624769994,
