Angle (deg),
3.6,-60.24055507695955
7.2,-57.503567991662536
10.8,-54.99925061527926
14.4,-52.784448416862745
18.0,-51.794965080123035
21.6,-51.426662803581046
25.200000000000003,-51.79126113330953
28.800000000000004,-53.5818230694716
32.400000000000006,-53.924797222851495
36.00000000000001,-53.7853120319301
39.60000000000001,-52.692135581139745
43.20000000000001,-52.673017464935235
46.80000000000001,-54.090997376093455
50.40000000000001,-57.32188889397041
54.000000000000014,-58.566635182873284
57.600000000000016,-56.0946186170978
61.20000000000002,-55.3767617713392
64.80000000000001,-57.343623780424785
68.4,-59.644120352855154
72.0,-60.121953333009245
75.6,-61.531801653410454
79.19999999999999,-62.18184470468217
82.79999999999998,-63.937331010234104
86.39999999999998,-64.94382759971083
89.99999999999997,-58.360257501804185
93.59999999999997,-59.36709004966001
97.19999999999996,-77.03079838928514
100.79999999999995,-58.723200008016555
104.39999999999995,-60.484740961190894
107.99999999999994,-72.95232819740403
111.59999999999994,-57.26385527022447
115.19999999999993,-53.83728865339146
118.79999999999993,-54.50331419609035
122.39999999999992,-58.94489776277072
125.99999999999991,-60.93159619162508
129.5999999999999,-57.95816522739324
133.1999999999999,-56.9204645948435
136.7999999999999,-56.58042939762449
140.3999999999999,-57.11008727801858
143.9999999999999,-58.799097713006894
147.59999999999988,-59.75543561204505
151.19999999999987,-60.65716097629523
154.79999999999987,-60.54602754561807
158.39999999999986,-61.76797961268903
161.99999999999986,-63.463283696925515
165.59999999999985,-67.13113211919487
169.19999999999985,-69.37400576334828
172.79999999999984,-74.28468642891028
176.39999999999984,-77.62747974967274
179.99999999999983,-73.36349752764635
183.59999999999982,-68.32981802270211
187.19999999999982,-66.77014441059706
190.7999999999998,-67.2017738676593
194.3999999999998,-66.04465459430418
197.9999999999998,-63.3586377968256
201.5999999999998,-61.594082105493584
205.1999999999998,-60.423084677011985
208.79999999999978,-61.051777878890235
212.39999999999978,-63.73959175821306
215.99999999999977,-67.78151497451934
219.59999999999977,-62.48858290384516
223.19999999999976,-60.973879413962415
226.79999999999976,-61.87328221327023
230.39999999999975,-64.7065595088304
233.99999999999974,-72.87257705782613
237.59999999999974,-59.17479574930274
241.19999999999973,-55.36386375724413
244.79999999999973,-55.516263763601415
248.39999999999972,-59.08521794837881
251.99999999999972,-76.47333968964762
255.5999999999997,-61.82721552921784
259.1999999999997,-59.24337564505365
262.7999999999997,-59.93127078125531
266.39999999999975,-61.2784991300802
269.9999999999998,-65.14897176401307
273.5999999999998,-67.4947013719353
277.1999999999998,-61.02786609429463
280.79999999999984,-58.12590715145289
284.39999999999986,-62.70547941580764
287.9999999999999,-68.83922558135737
291.5999999999999,-58.552191627452
295.19999999999993,-56.454787114760606
298.79999999999995,-54.90119330242392
302.4,-54.60672659374518
306.0,-56.81637603381208
309.6,-58.47312160739632
313.20000000000005,-56.03094782185778
316.80000000000007,-53.497104901678554
320.4000000000001,-51.90543215742011
324.0000000000001,-52.551251821535566
327.60000000000014,-56.00217154305782
331.20000000000016,-56.77007908812455
334.8000000000002,-52.271545009487895
338.4000000000002,-49.424025751120325
342.0000000000002,-48.51682567638176
345.60000000000025,-48.88918092808144
349.2000000000003,-49.980563232157095
352.8000000000003,-52.23229898526418
356.4000000000003,-54.90163562487368
360.00000000000034,-58.169892286372225
363.60000000000036,-59.907311716199594
