Angle (deg),
3.6,-35.82490324525771
7.2,-36.22405760015441
10.8,-36.606207202982795
14.4,-37.465956308620044
18.0,-38.322983261381914
21.6,-39.49786069203935
25.200000000000003,-41.952433022144305
28.800000000000004,-44.59111869690954
32.400000000000006,-48.47253303491649
36.00000000000001,-51.30106083866983
39.60000000000001,-50.96727320504102
43.20000000000001,-53.274642675690835
46.80000000000001,-64.32551426230104
50.40000000000001,-55.598179080239376
54.000000000000014,-50.10093064337563
57.600000000000016,-49.85180188646347
61.20000000000002,-52.751633477949234
64.80000000000001,-52.92030509056524
68.4,-51.5213997904617
72.0,-52.079826636204174
75.6,-54.738227624046
79.19999999999999,-54.36060757483077
82.79999999999998,-52.4791870538006
86.39999999999998,-55.040664542734035
89.99999999999997,-57.156844194812244
93.59999999999997,-53.420588716765835
97.19999999999996,-51.33762300530156
100.79999999999995,-51.90738362083675
104.39999999999995,-52.70522298299573
107.99999999999994,-50.257319771045054
111.59999999999994,-48.21618910804459
115.19999999999993,-48.495769983009126
118.79999999999993,-49.952167287121775
122.39999999999992,-51.21911157152241
125.99999999999991,-50.80727126726481
129.5999999999999,-50.944420554297835
133.1999999999999,-52.183289689865084
136.7999999999999,-54.676782636566344
140.3999999999999,-55.74109659213219
143.9999999999999,-56.21399333094537
147.59999999999988,-56.38259083963679
151.19999999999987,-57.91488960494573
154.79999999999987,-59.64513450631298
158.39999999999986,-61.20860139182778
161.99999999999986,-60.05538239030027
165.59999999999985,-58.75320938247498
169.19999999999985,-56.3524685652377
172.79999999999984,-55.20695274461463
176.39999999999984,-54.06430065598151
179.99999999999983,-53.923773602561525
183.59999999999982,-54.13325157987376
187.19999999999982,-55.42494704126736
190.7999999999998,-57.00205448548992
194.3999999999998,-58.48053157267091
197.9999999999998,-60.74989509882609
201.5999999999998,-63.32448549523849
205.1999999999998,-67.11151735219032
208.79999999999978,-64.87945185346408
212.39999999999978,-60.81856526736779
215.99999999999977,-59.090652979587496
219.59999999999977,-58.92168828555134
223.19999999999976,-58.7349414464882
226.79999999999976,-56.19767040009042
230.39999999999975,-53.95176096893839
233.99999999999974,-54.402064950419955
237.59999999999974,-55.308060219783655
241.19999999999973,-54.6341498454791
244.79999999999973,-51.604591890580764
248.39999999999972,-50.54877894396987
251.99999999999972,-51.196164369504196
255.5999999999997,-52.61430999215911
259.1999999999997,-51.008634413012025
262.7999999999997,-49.34971623814981
266.39999999999975,-50.30309126980995
269.9999999999998,-52.969350521266996
273.5999999999998,-52.830355626631
277.1999999999998,-51.166696716435624
280.79999999999984,-51.31388842226795
284.39999999999986,-55.27689860185465
287.9999999999999,-53.8799030623792
291.5999999999999,-53.16571952037883
295.19999999999993,-54.62166393198786
298.79999999999995,-57.17757829886763
302.4,-52.40834004713277
306.0,-51.47946061682764
309.6,-54.85562213911799
313.20000000000005,-61.4128027175382
316.80000000000007,-55.633214216809925
320.4000000000001,-50.931303187923206
324.0000000000001,-50.39337949531056
327.60000000000014,-51.284811253991734
331.20000000000016,-49.54425408827237
334.8000000000002,-44.779317908275424
338.4000000000002,-41.56465931508966
342.0000000000002,-38.88107474198218
345.60000000000025,-37.39798120732536
349.2000000000003,-36.517237301739165
352.8000000000003,-35.951957450374415
356.4000000000003,-35.735656005986826
360.00000000000034,-35.70240530485342
363.60000000000036,-35.82927347244812
