Angle (deg),posB,freeSpace
3.6,-22.8,-19.3
7.2,-21.4,-20.1
10.8,-21,-21.4
14.4,-18.1,-23.1
18,-15.1,-24.8
21.6,-13.4,-24.5
25.2,-13.3,-23.3
28.8,-13.3,-22.4
32.4,-13.6,-22.2
36,-13.5,-22.2
39.6,-13.7,-22.7
43.2,-14,-23.9
46.8,-13.6,-25.8
50.4,-12.8,-28.2
54,-12.6,-31.4
57.6,-12.6,-28.4
61.2,-13.2,-23.8
64.8,-14.2,-21.4
68.4,-15.1,-19.3
72,-15.8,-18.8
75.6,-16.5,-18.4
79.2,-17.1,-18.5
82.8,-18.2,-19.2
86.4,-19.8,-20.5
90,-22.4,-22.2
93.6,-26.6,-24.1
97.2,-31.2,-26.4
100.8,-30.8,-29.6
104.4,-29.6,-35.7
108,-28.8,-44.8
111.6,-28.7,-33.5
115.2,-29.6,-28.1
118.8,-33.5,-23
122.4,-42.5,-21.1
126,-36.3,-20.1
129.6,-34.3,-20
133.2,-34.1,-20.5
136.8,-33.5,-22.4
140.4,-29.4,-25.9
144,-27.7,-28
147.6,-27.7,-23.5
151.2,-30.5,-20.3
154.8,-29.8,-19
158.4,-27.5,-18.3
162,-27.5,-17.9
165.6,-30,-17.9
169.2,-37.3,-18.1
172.8,-37.3,-18.7
176.4,-33.9,-19.5
180,-33.4,-20.4
183.6,-34.8,-20.9
187.2,-31.5,-20.7
190.8,-30.3,-19.9
194.4,-30.5,-18.9
198,-33.4,-18.5
201.6,-36.4,-18.2
205.2,-39,-18.6
208.8,-35.8,-19
212.4,-33,-19.2
216,-33.2,-19.1
219.6,-37.4,-19
223.2,-32.2,-18.7
226.8,-30.9,-18.8
230.4,-31.2,-18.9
234,-32.9,-19.1
237.6,-30.8,-19.1
241.2,-30.8,-19.3
244.8,-30.4,-19.5
248.4,-27.5,-19.4
252,-26.5,-19.2
255.6,-26.5,-18.7
259.2,-28.1,-18.2
262.8,-32.1,-17.7
266.4,-32.5,-17.3
270,-26.6,-16.6
273.6,-23.4,-16.3
277.2,-21.7,-16.3
280.8,-21.5,-16.4
284.4,-21.8,-16.7
288,-22.8,-16.7
291.6,-24.6,-16.3
295.2,-26,-15.6
298.8,-26.5,-15.1
302.4,-27,-14.7
306,-25.6,-14.5
309.6,-23,-14.4
313.2,-21.1,-14.5
316.8,-20.8,-14.6
320.4,-21.3,-14.8
324,-22.9,-15
327.6,-20.9,-15.6
331.2,-17.8,-16.2
334.8,-16.7,-16.6
338.4,-16.7,-16.6
342,-18.1,-16.8
345.6,-22,-17.1
349.2,-22.6,-17.4
352.8,-20.9,-17.8
356.4,-21,-18.1
360,-24.2,-18.5
363.6,-23.2,-19.1
