Angle (deg),posB_skinnyB,freeSpace,posB
3.6,-24.1,-19.3,-22.8
7.2,-21.6,-20.1,-21.4
10.8,-20.2,-21.4,-21
14.4,-18.2,-23.1,-18.1
18,-15.7,-24.8,-15.1
21.6,-14.4,-24.5,-13.4
25.2,-13.7,-23.3,-13.3
28.8,-13.6,-22.4,-13.3
32.4,-13.6,-22.2,-13.6
36,-14.2,-22.2,-13.5
39.6,-15.8,-22.7,-13.7
43.2,-17.5,-23.9,-14
46.8,-16.3,-25.8,-13.6
50.4,-14.9,-28.2,-12.8
54,-14.7,-31.4,-12.6
57.6,-14.7,-28.4,-12.6
61.2,-15.8,-23.8,-13.2
64.8,-17.3,-21.4,-14.2
68.4,-18.5,-19.3,-15.1
72,-19,-18.8,-15.8
75.6,-19,-18.4,-16.5
79.2,-19.2,-18.5,-17.1
82.8,-19.9,-19.2,-18.2
86.4,-21.5,-20.5,-19.8
90,-24.1,-22.2,-22.4
93.6,-27.9,-24.1,-26.6
97.2,-30.9,-26.4,-31.2
100.8,-30.2,-29.6,-30.8
104.4,-29.4,-35.7,-29.6
108,-29.3,-44.8,-28.8
111.6,-29.6,-33.5,-28.7
115.2,-31.3,-28.1,-29.6
118.8,-35.7,-23,-33.5
122.4,-44.4,-21.1,-42.5
126,-38.1,-20.1,-36.3
129.6,-34.7,-20,-34.3
133.2,-32.3,-20.5,-34.1
136.8,-30.5,-22.4,-33.5
140.4,-28.6,-25.9,-29.4
144,-28.3,-28,-27.7
147.6,-29.1,-23.5,-27.7
151.2,-34.1,-20.3,-30.5
154.8,-31.7,-19,-29.8
158.4,-29.7,-18.3,-27.5
162,-29.9,-17.9,-27.5
165.6,-33.1,-17.9,-30
169.2,-41.4,-18.1,-37.3
172.8,-40.7,-18.7,-37.3
176.4,-36.7,-19.5,-33.9
180,-36.3,-20.4,-33.4
183.6,-36.7,-20.9,-34.8
187.2,-34.9,-20.7,-31.5
190.8,-34,-19.9,-30.3
194.4,-34.3,-18.9,-30.5
198,-37.8,-18.5,-33.4
201.6,-38.5,-18.2,-36.4
205.2,-41.6,-18.6,-39
208.8,-36.8,-19,-35.8
212.4,-34.6,-19.2,-33
216,-35.3,-19.1,-33.2
219.6,-41.7,-19,-37.4
223.2,-33.5,-18.7,-32.2
226.8,-31.9,-18.8,-30.9
230.4,-32.1,-18.9,-31.2
234,-34.2,-19.1,-32.9
237.6,-32.3,-19.1,-30.8
241.2,-32,-19.3,-30.8
244.8,-32.7,-19.5,-30.4
248.4,-30.3,-19.4,-27.5
252,-29.3,-19.2,-26.5
255.6,-29.4,-18.7,-26.5
259.2,-30.6,-18.2,-28.1
262.8,-34.1,-17.7,-32.1
266.4,-36.3,-17.3,-32.5
270,-29.6,-16.6,-26.6
273.6,-26.8,-16.3,-23.4
277.2,-24.7,-16.3,-21.7
280.8,-24.3,-16.4,-21.5
284.4,-24.4,-16.7,-21.8
288,-25.1,-16.7,-22.8
291.6,-26.5,-16.3,-24.6
295.2,-27.6,-15.6,-26
298.8,-27.5,-15.1,-26.5
302.4,-26.5,-14.7,-27
306,-24.1,-14.5,-25.6
309.6,-22.3,-14.4,-23
313.2,-21.3,-14.5,-21.1
316.8,-21.3,-14.6,-20.8
320.4,-22.7,-14.8,-21.3
324,-24.2,-15,-22.9
327.6,-21.2,-15.6,-20.9
331.2,-19,-16.2,-17.8
334.8,-18,-16.6,-16.7
338.4,-18.1,-16.6,-16.7
342,-19.3,-16.8,-18.1
345.6,-22.3,-17.1,-22
349.2,-25.1,-17.4,-22.6
352.8,-23.9,-17.8,-20.9
356.4,-24,-18.1,-21
360,-26.9,-18.5,-24.2
363.6,-24.3,-19.1,-23.2
