Angle (deg),posE,freeSpace
3.6,-15.7,-19.3
7.2,-14.1,-20.1
10.8,-14,-21.4
14.4,-16.2,-23.1
18,-20.6,-24.8
21.6,-20.3,-24.5
25.2,-20.5,-23.3
28.8,-22,-22.4
32.4,-16.9,-22.2
36,-14.4,-22.2
39.6,-13.8,-22.7
43.2,-13.8,-23.9
46.8,-14.8,-25.8
50.4,-16.9,-28.2
54,-20.3,-31.4
57.6,-25.5,-28.4
61.2,-31.3,-23.8
64.8,-34.8,-21.4
68.4,-31.6,-19.3
72,-28.5,-18.8
75.6,-26.2,-18.4
79.2,-25.5,-18.5
82.8,-25.2,-19.2
86.4,-25.3,-20.5
90,-25.3,-22.2
93.6,-25.4,-24.1
97.2,-25.6,-26.4
100.8,-26.6,-29.6
104.4,-28.8,-35.7
108,-32.8,-44.8
111.6,-33.4,-33.5
115.2,-27.9,-28.1
118.8,-25.7,-23
122.4,-25.4,-21.1
126,-26.9,-20.1
129.6,-33.5,-20
133.2,-31.7,-20.5
136.8,-30.8,-22.4
140.4,-31.6,-25.9
144,-30.6,-28
147.6,-26.8,-23.5
151.2,-25.3,-20.3
154.8,-25.2,-19
158.4,-27.3,-18.3
162,-35.1,-17.9
165.6,-30.7,-17.9
169.2,-27.4,-18.1
172.8,-26.8,-18.7
176.4,-27.9,-19.5
180,-30.1,-20.4
183.6,-25.3,-20.9
187.2,-25.1,-20.7
190.8,-26.7,-19.9
194.4,-34.7,-18.9
198,-30.3,-18.5
201.6,-30.1,-18.2
205.2,-33.3,-18.6
208.8,-26.6,-19
212.4,-23.7,-19.2
216,-23.6,-19.1
219.6,-27,-19
223.2,-29.1,-18.7
226.8,-24.7,-18.8
230.4,-23.1,-18.9
234,-23.1,-19.1
237.6,-24.3,-19.1
241.2,-25.6,-19.3
244.8,-26.4,-19.5
248.4,-26.7,-19.4
252,-27,-19.2
255.6,-26.7,-18.7
259.2,-26.3,-18.2
262.8,-26.2,-17.7
266.4,-26.3,-17.3
270,-27.5,-16.6
273.6,-32,-16.3
277.2,-35.4,-16.3
280.8,-26.6,-16.4
284.4,-20.6,-16.7
288,-17.8,-16.7
291.6,-16,-16.3
295.2,-14.4,-15.6
298.8,-13.5,-15.1
302.4,-13.1,-14.7
306,-12.9,-14.5
309.6,-12.8,-14.4
313.2,-12.8,-14.5
316.8,-12.1,-14.6
320.4,-8.5,-14.8
324,-7.7,-15
327.6,-7.7,-15.6
331.2,-7.7,-16.2
334.8,-7.7,-16.6
338.4,-8.6,-16.6
342,-12.6,-16.8
345.6,-18.1,-17.1
349.2,-14.6,-17.4
352.8,-13.9,-17.8
356.4,-14.7,-18.1
360,-18.8,-18.5
363.6,-15.7,-19.1
